,fault_name,length,location,sense_of_movement,time_of_movement,associated_earthquakes
71,Marlborough Fault System,South Island - New Zealand,Dextral strike-slip,Active,1843 Wanganui (M~7.5),
72,Meers Fault,Oklahoma,Oblique slipe,Active,Holocene,
73,Mendocino Fracture Zone,California - United States,Transform,Active,,
74,Moab Fault,Utah - United States,Normal fault,Active,,
75,Mocha Fracture Zone,Mocha Island - Chile,Transform,Active,,
76,Motagua Fault,Guatemala,Transform,Active,1717 - 1773 - 1902 - 1976 - 1980 - 2009,
77,Mygdonia Graben,North Greece,Normal to strike-slip,Active,1978 Thessaloniki (M6.4),
78,Neodani Fault,Japan,Active,1891 Mino–Owari (M8.0),,
79,New Madrid Fault Zone,Missouri - United States,Normal fault,Active,1811–1812 three (M7-8),
80,Nootka Fault,British Columbia - Canada,Transform,Active,,
81,North Aegean Trough,>250,North Aegean Sea - Greece - Turkey,Dextral strike-slip,Active,1912 (M7.6); 1982 (M6.7); 2014 (M6.9)
82,North Anatolian Fault,Turkey,Dextral strike-slip,Active,1939 Erzincan (M7.8) - 1912 Ganos (M7.4) - 1999 Izmit (M7.4) - 1999 Düzce (M7.2),
83,North Ikaria Fault,>80,Central Aegean Sea - Greece,Dextral strike slip,,
84,North Island Fault System,500,North Island - New Zealand,Dextral strike slip,Active,
85,Palu-Koro Fault,500,Palu - Sigi - Donggala - Indonesia,Sinistral strike-slip,Active,2005 Bora - Sigi earthquake (M6.2) - 2018 Sulawesi earthquake (M7.5)
86,Periadriatic Seam,1000,Alps - Europe,Dextral strike-slip,,
87,Pichilemu Fault,40,Chile,Active,2010 Pichilemu (Libertador O'Higgins) (M6.9),
88,Pliny Trench,300,Eastern Mediterranean Sea - Hellenic Trench,Sinistral strike-slip,,
89,Port Hills Fault,South Island - New Zealand,Active,2011 Christchurch (M6.3),,
90,Pyramid Lake Fault Zone,Nevada - United States,Dextral strike-slip,,,
91,Ramapo Fault,300,New York - New Jersey - Pennsylvania - United States,Normal fault,Triassic to Early Jurassic,
92,Raymond Fault,California - United States,,,,
93,Red Sea Rift,Red Sea,Rift zone,,,
94,Reigolil-Pirihueico Fault,Andes,,,,
95,Rhine Rift Valley,Germany and France,Rift zone,Active,1356 Basel (M6 to 7),
96,Rio Grande Rift,Rio Grande Valley - United States and Mexico,Rift zone,,,
97,Salzach-Ennstal-Mariazell-Puchberg Fault System (SEMP),400[3],Austria,Sinistral strike-slip,,
98,San Andreas Fault System (Banning fault - Mission Creek fault - South Pass fault - San Jacinto fault - Elsinore fault),1300,California - United States,Dextral strike-slip,Active,1906 San Francisco (M7.7 to 8.25) - 1989 Loma Prieta (M6.9)
99,San Ramón Fault,Chile,Thrust fault,,,
100,Sawtooth Fault,Idaho - United States,Normal fault,,,
101,Seattle Fault,Washington - United States,Thrust fault,Active,,
102,Septentrional-Orient fault zone,Caribbean,Sinistral strike-slip,Active,1842 Cap-Haïtien (M8.1),
103,Sierra Nevada Fault,California - United States,Normal fault,Active,1872 Lone Pine (M7.4–8.3),
104,Skyros-Edremit Fault zone,>150,Aegean Sea - Greece - Turkey,Dextral Strike-slip,Active,1967 - 1981
105,Sobral Fault,Brazil,Strike-slip,,,
106,Sorong fault,Oceania,Sinistral strike-slip,Active,2009 Kepulauan Talaud (M7.2),
107,Sparta Fault,65,Peloponnese - Greece,Normal fault,Active,464 BC Sparta (M7.2)
108,Spili Fault,20,Crete - Greece,Normal fault,Active,
109,Strabo Trench,300,Eastern Mediterranean Sea - Hellenic Trench,Sinistral strike-slip,Active,
110,Sunda subduction megathrust,5000,South East Asia,Subduction zone,Active,2004 Banda Aceh (M9.1) - 2005 Nias (M8.6) - 2007 Bengkulu (M8.4)
111,Tacoma Fault,56,Washington - United States,Thrust fault,Active,
112,Tatsuda Fault,Japan,Active,1889 Kumamoto (M6.3),,
113,Tintina Fault,British Columbia - Canadato Alaska - United States,Strike-slip,Late Cretaceous to Oligocene,,
114,Ulakhan Fault,Siberia to Aleutian Trench,Sinistral strike-slip,Active,,
115,Virginia Seismic Zone,Virginia - United States,Active,2011 Virginia (M5.8),,
116,Wabash Valley Seismic Zone,Illinois - Indiana - United States,Normal fault,Active,2008 Illinois (M5.4),
117,Wasatch Fault,Utah - United States,Normal fault,Active,,
118,Wellington Fault,North Island - New Zealand,Dextral strike-slip,Active,,
119,Wairarapa Fault,North Island - New Zealand,Dextral strike-slip,Active,1855 Wairarapa (M8.2),
120,Wairau Fault,South Island - New Zealand,Dextral strike-slip,Active,,
121,Wilzetta Fault,89,Oklahoma - United States,Strike-slip,Active,2011 Oklahoma (M5.6)
